projected_seed,Team,wins,losses,win_pct,NRtg,SOS,recent_win_pct,games_remaining,blended_rate,projected_wins
1,Detroit Pistons,45,14,0.763,7.9,-0.52,0.8,23,0.7741,62.8
2,Oklahoma City Thunder,47,15,0.758,11.3,-0.5,0.7,20,0.7405999999999999,61.8
3,San Antonio Spurs,43,17,0.717,6.2,-0.02,0.9,22,0.7718999999999999,60.0
4,Boston Celtics,41,20,0.672,8.3,-0.9,0.8,21,0.7103999999999999,55.9
5,Houston Rockets,38,22,0.633,5.4,-0.55,0.7,22,0.6531,52.4
6,New York Knicks,39,22,0.639,6.2,-0.28,0.6,21,0.6273,52.2
7,Minnesota Timberwolves,38,23,0.623,4.5,-0.76,0.7,21,0.6461,51.6
8,Cleveland Cavaliers,38,24,0.613,4.2,-0.03,0.7,20,0.6391,50.8
9,Denver Nuggets,38,24,0.613,4.4,-0.59,0.5,20,0.5791,49.6
10,Los Angeles Lakers,36,24,0.6,0.5,-0.26,0.5,22,0.57,48.5
11,Toronto Raptors,35,25,0.583,2.0,-0.2,0.6,22,0.5881,47.9
12,Phoenix Suns,34,26,0.567,0.7,0.42,0.4,22,0.5168999999999999,45.4
13,Philadelphia 76ers,33,27,0.55,0.4,-0.06,0.4,22,0.505,44.1
14,Orlando Magic,31,28,0.525,0.1,0.42,0.6,23,0.5475,43.6
15,Miami Heat,32,29,0.525,2.7,0.21,0.5,21,0.5175,42.9
16,Charlotte Hornets,30,31,0.492,3.1,-0.58,0.7,21,0.5544,41.6
17,Atlanta Hawks,31,31,0.5,0.0,0.06,0.6,20,0.53,41.6
18,Golden State Warriors,31,30,0.508,1.3,0.16,0.4,21,0.47559999999999997,41.0
19,Los Angeles Clippers,29,31,0.483,0.0,0.31,0.6,22,0.5181,40.4
20,Portland Trail Blazers,29,33,0.468,-3.1,0.93,0.5,20,0.4776,38.6
21,Milwaukee Bucks,26,34,0.433,-4.3,0.22,0.5,22,0.45309999999999995,36.0
22,Chicago Bulls,25,36,0.41,-4.2,0.12,0.1,21,0.31699999999999995,31.7
23,Memphis Grizzlies,23,36,0.39,-2.0,-0.42,0.3,23,0.363,31.3
24,Dallas Mavericks,21,39,0.35,-3.7,-0.18,0.2,22,0.30499999999999994,27.7
25,New Orleans Pelicans,19,43,0.306,-5.3,0.33,0.6,20,0.3942,26.9
26,Utah Jazz,18,43,0.295,-7.7,0.59,0.2,21,0.26649999999999996,23.6
27,Washington Wizards,16,44,0.267,-10.6,0.16,0.2,22,0.2469,21.4
28,Brooklyn Nets,15,45,0.25,-8.8,0.52,0.2,22,0.235,20.2
29,Indiana Pacers,15,46,0.246,-8.1,0.34,0.2,21,0.2322,19.9
30,Sacramento Kings,14,48,0.226,-10.9,1.03,0.2,20,0.2182,18.4
