Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Detroit Pistons,45,14,0.763,—,117.3,109.4,7.39,East
Boston Celtics,41,20,0.672,5.0,114.9,107.0,7.02,East
New York Knicks,39,22,0.639,7.0,117.2,111.1,5.81,East
Cleveland Cavaliers,38,24,0.613,8.5,119.2,115.0,4.21,East
Toronto Raptors,35,25,0.583,10.5,114.0,112.0,1.77,East
Philadelphia 76ers,33,27,0.55,12.5,116.4,115.9,0.41,East
Orlando Magic,31,28,0.525,14.0,114.6,114.4,0.55,East
Miami Heat,32,29,0.525,14.0,119.8,117.0,3.06,East
Atlanta Hawks,31,31,0.5,15.5,117.4,117.4,0.08,East
Charlotte Hornets,30,31,0.492,16.0,116.0,113.0,2.43,East
Milwaukee Bucks,26,34,0.433,19.5,111.3,115.6,-4.0,East
Chicago Bulls,25,36,0.41,21.0,115.8,120.1,-4.14,East
Washington Wizards,16,44,0.267,29.5,112.3,123.0,-10.57,East
Brooklyn Nets,15,45,0.25,30.5,107.0,115.4,-7.97,East
Indiana Pacers,15,46,0.246,31.0,111.4,119.6,-7.83,East
Oklahoma City Thunder,47,15,0.758,—,119.2,107.9,10.79,West
San Antonio Spurs,43,17,0.717,3.0,118.0,111.8,6.17,West
Houston Rockets,38,22,0.633,8.0,114.7,109.4,4.77,West
Minnesota Timberwolves,38,23,0.623,8.5,119.1,114.6,3.8,West
Denver Nuggets,38,24,0.613,9.0,120.5,116.1,3.77,West
Los Angeles Lakers,36,24,0.6,10.0,115.9,115.5,0.21,West
Phoenix Suns,34,26,0.567,12.0,112.1,111.4,1.18,West
Golden State Warriors,31,30,0.508,15.5,115.3,114.1,1.42,West
Los Angeles Clippers,29,31,0.483,17.0,112.1,112.1,0.31,West
Portland Trail Blazers,29,33,0.468,18.0,115.2,118.4,-2.19,West
Memphis Grizzlies,23,36,0.39,22.5,115.7,117.7,-2.38,West
Dallas Mavericks,21,39,0.35,25.0,113.9,117.7,-3.94,West
New Orleans Pelicans,19,43,0.306,28.0,115.1,120.4,-4.95,West
Utah Jazz,18,43,0.295,28.5,117.9,125.8,-7.31,West
Sacramento Kings,14,48,0.226,33.0,110.3,121.2,-9.91,West
